,T_a,RH,p_a,v_a,SnowHeight,SW_global,LW_in
2020-12-09 04:30:00,-0.7555513,80.55579,67.80228,1.921755,104.6,-1.256479,269.8016
2020-12-09 05:00:00,-0.6903698,79.50786,67.81217,1.560208,104.6,-1.358964,272.6926
2020-12-09 05:30:00,-0.8490471,78.8957,67.81906,2.638036,104.6,-1.379808,274.8735
2020-12-09 06:00:00,-0.7526855,76.31056,67.83903,2.304327,104.6,-2.041308,265.0877
2020-12-09 06:30:00,-1.575671,85.06329,67.87871,0.7426925,104.6,-2.244024,263.9139
2020-12-09 07:00:00,-1.511118,84.29607,67.8954,0.3320833,104.7,-1.1605,268.609
2020-12-09 07:30:00,-1.60812,85.83762,67.90771,0.4696299,104.6,5.246633,262.5989
2020-12-09 08:00:00,-1.595001,87.82465,67.92216,1.046919,104.6,26.48357,267.0802
2020-12-09 08:30:00,-1.498613,88.59698,67.94027,0.319839,104.7,53.01942,271.8534
2020-12-09 09:00:00,-1.094872,87.90199,67.9626,0.5785138,104.7,120.445,273.3134
2020-12-09 09:30:00,-0.6556484,85.65511,67.99284,0.6371775,104.7,113.5929,283.2367
2020-12-09 10:00:00,-0.4703745,84.3085,68.01254,0.867923,104.7,150.3149,290.1564
2020-12-09 10:30:00,0.05454721,80.74518,68.0068,1.311603,104.8,231.6136,295.4507
2020-12-09 11:00:00,0.5325391,76.63607,67.99324,1.436957,104.9,271.1433,290.1423
2020-12-09 11:30:00,0.7559736,67.32019,67.96754,2.836342,104.8,214.5282,288.7447
2020-12-09 12:00:00,0.8333389,61.84722,67.94235,3.046717,104.7,251.8135,280.8732
2020-12-09 12:30:00,0.9237161,59.98889,67.90919,3.04295,105,284.8102,276.4307
2020-12-09 13:00:00,1.209974,59.05107,67.87891,2.421155,104.8,253.3402,283.2931
2020-12-09 13:30:00,1.648534,57.36302,67.84532,2.639013,104.9,363.0468,271.6348
2020-12-09 14:00:00,2.329436,53.6695,67.80309,1.99107,104.9,376.817,254.7057
2020-12-09 14:30:00,2.309899,52.20522,67.77713,2.009015,104.8,238.1035,268.4444
2020-12-09 15:00:00,2.222355,52.84794,67.755,2.026325,104.7,179.5219,278.6629
